ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
KHM,1.0865122076,0.8733363869,1.1719525244,1.0073309161,1.1484726786,0.9772579928,1.045579717,0.8778823232,0.8757404792,0.613983614,0.9602041901,1.0611083909,1.0469900967,1.1039498515,1.0147406591,1.1194616929
KIR,0.8671874999,1.4117647051,-0.0887505327,1.0401264926,0.7870758509,0.2450675002,0.7349458699,1.5761544179,0.8215137091,1.5398981427,-0.1142929335,1.0095368449,1.1037559699,1.1156433261,0.9117168807,1.0482769567
KNA,1.2138864571,1.1092755342,0.8895776886,0.7094906576,1.0042646445,1.1080831053,1.0362405881,0.8715795557,1.1258383045,0.8526962457,0.9550179386,0.9909608856,0.9060440125,1.1243978896,1.0691457977,1.02946655
KOR,0.9292797086,1.0784736122,1.0775158626,1.0561249366,1.0274055308,1.1603108634,1.0692469783,1.0000448305,1.007832113,1.0091183621,0.8951636552,0.9921127595,1.0641026014,1.0286778447,1.0694880467,1.0526436801
KWT,1.1113987789,0.8616218768,1.0393371081,1.2831706858,1.0882010114,0.9365814098,1.0859525558,1.0788810372,0.8478845459,0.7518323744,0.900117206,1.1597183608,0.90288559,1.0863488601,1.0094753187,0.9607287874
LAO,1.0915726292,1.2596972195,0.4608192217,1.2132170533,0.5768667216,1.12580077,0.9545061949,2.0107887048,1.0726976911,0.4664056197,0.5382699421,1.1793894878,0.4749311428,1.1463677198,1.0663579986,1.1152293812
LBN,1.1786617143,0.9538668429,1.0895199973,0.7878359378,1.2748495838,1.125896252,1.2486464143,1.3282200014,0.6012697246,0.7607681139,1.2413848129,0.9997641155,0.8275513717,1.0232063492,0.9794464281,1.0258848747
LBR,1.4029735306,0.7260074818,1.090348839,0.283013982,0.6981802777,0.7268453927,1.1085910894,1.406395541,1.4712044271,1.2793072605,0.0111055745,0.9049492736,0.8444876033,1.3226211834,1.0259990269,0.9590528859
LBY,,,,,,,,,,,,,,,,
LKA,0.7325452817,0.9292871914,0.9596934405,1.1147070677,0.8824424192,1.1580402513,1.174761965,1.0707189073,1.1434541331,0.9093655863,1.0792664903,0.93306022,1.0464491684,1.0931950146,0.9755637233,1.0727070094
LTU,1.3226783026,1.0069442617,1.1176170825,1.2123046014,1.0359207502,1.0345968137,1.0951654675,1.0267768802,1.1382632753,0.9804616528,0.8915068442,1.0755825678,1.0684228511,1.2139628628,1.1098570195,1.0272820284
LUX,0.9537488225,0.9329651286,0.9109907799,0.9574381446,0.7945657196,1.0193257723,1.126897472,1.2706582284,1.0016570197,1.0028882722,0.9915967992,1.0713056241,1.0460879875,1.1879707685,1.2073882856,1.0526782141
LVA,1.276882351,1.008006733,1.1340787996,1.1140104321,1.1638734935,1.1933468513,1.1026846546,1.1173447421,1.0252054841,0.8823491929,0.6382968583,1.3073568708,1.1547295865,1.0981004858,1.0955972444,1.0221284863
MAC,0.9771154232,0.9940868116,1.378799002,1.2178037251,1.2536956721,1.0286724308,1.5047226542,1.4046060432,0.0823049569,0.7139746206,2.0699949235,1.0155121229,1.2595905727,1.3227884591,0.8383915318,0.5458914624
MAR,0.9924747597,0.913427852,1.0333975365,1.1565379092,0.7824367796,0.9503398717,1.0764917045,0.9486671529,1.0106067024,1.1010153019,0.9413106548,1.041564848,0.8828913657,1.2265370516,0.908669454,1.0690531867
MDG,1.142182579,1.2654962468,1.2907561793,0.4051138278,0.9768544446,1.1667608838,1.1695123866,0.9630542525,1.0588819826,1.0415005835,0.7938042741,0.6631500897,0.7516652051,0.7335142203,0.8087057495,1.0710773241
MDV,,,0.5210234775,1.6088644385,0.5835582112,1.0272719525,0.8212258192,1.142520305,1.083697093,0.8004189394,1.1089509026,1.0464055508,0.7851266975,1.1496964975,0.9810703204,1.0353380995
MEX,1.1064623085,0.9194562049,1.0217443158,0.9561874369,1.0564773258,0.9439381638,1.0525166612,1.002135797,0.9594240089,1.0044073646,1.1268685397,0.9818011529,1.0187315985,0.9948759754,1.0767959099,1.088837961
MHL,0.7746627291,1.0094751533,0.9602189565,1.0034026614,0.9119591662,1.1394834341,0.8628845286,0.9082498755,0.9672819107,0.8923700909,1.1287565328,1.0335394841,1.0739957035,1.0471819796,0.8468134063,0.9913300708
MKD,1.031479839,0.9494295229,1.2084663571,0.9752738655,1.1147258618,1.0783687266,1.1647617756,1.4021836286,1.1292750729,1.1423251315,1.0894657914,0.8622252245,1.0812946033,1.2096198655,1.1599615916,0.9959127585
MLI,0.9342867959,1.2882947676,1.017191141,1.1914336124,0.9523286694,1.0788455219,0.993001034,0.927347624,0.9688804725,1.5982694212,0.706779115,0.8947942004,1.0811112823,0.9788860038,1.1545305232,1.0725871556
MLT,1.1390559395,0.8988954672,1.1284089334,0.8849072713,1.0550216624,0.9727400133,1.0070695769,1.0390774038,1.0735629014,1.0472588546,1.0663068835,0.9565289987,0.9914627785,1.370088748,1.1598347914,1.1331921332
MMR,1.0083915923,1.5126668076,1.1228668565,1.128696523,0.7097414591,1.4149759353,1.0318067238,1.2355937161,1.7069401891,1.1188402452,0.7245803454,0.8190741233,1.3444676008,1.2217049938,0.9857248063,1.0690618761
MNE,0.8370257878,0.8721741576,0.8985103039,0.9097109855,0.8986227194,0.9009539383,1.3023698896,1.329830095,0.6801217674,1.5398544073,0.2117740682,1.0732293857,1.1256341843,1.1476706482,1.1255706373,0.9824859923
MNG,1.0356149264,0.9569334035,0.9899124641,1.2032932214,1.0769618747,1.1424070952,0.9683740952,0.60753427,1.1824520474,0.7990809413,-0.6931921193,1.0882977039,0.8503784378,0.659806967,1.0299051301,0.9959993611
MOZ,0.759685673,0.8902502718,1.166192332,0.700796092,1.1522502766,1.2819602667,1.0154598338,0.852747022,1.1341711719,0.8866197639,0.9660080719,0.7730942012,1.209965414,0.5464798186,1.1299378584,1.067960008
MRT,0.9467596973,0.8697310164,0.8918601667,1.057995481,0.8978007939,1.1095657276,1.3470537052,0.7606769736,0.9216590018,0.7869831037,0.9858369037,0.9497817427,0.8921427497,1.1274982757,1.1235041039,0.9879633166
MUS,0.9531921578,0.9217580842,1.0267389947,0.9489245598,1.0952031814,0.8911442668,0.9596752206,1.0812915123,1.0628236131,1.1058570024,0.9658909675,1.0796399233,0.9918742763,1.2394232407,0.7566721318,1.0889672379
MWI,1.1700089383,0.9084935523,1.0506008234,0.9434027147,1.0690573679,1.1876414192,1.01212,1.2242461538,0.8040248652,1.3407495887,0.7524237452,1.1033843038,1.1374126814,0.844168831,1.0038622429,1.0404971921
MYS,0.8327462211,0.8526863096,1.1362552103,0.7385769618,1.0628861547,0.9730409225,1.1916248785,0.9748319515,0.8550095512,1.000094084,0.9347920405,1.0877507003,1.1253108815,0.9272328376,1.0976049905,1.0151166721
NAM,1.0967369043,0.5655198973,1.3564133405,0.9528910192,1.1456948909,0.6909538513,1.1250291282,1.1030575765,0.2222578796,1.1625385169,1.10109187,1.2838604961,0.7017628311,1.3723905406,1.1142662642,1.0706752656
